ID,name
6,ACS APPLIED MATERIALS & INTERFACES
7,ACS CATALYSIS
88,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION
98,APPLIED CATALYSIS A-GENERAL
99,APPLIED CATALYSIS B-ENVIRONMENTAL
105,APPLIED MECHANICS AND MATERIALS
116,APPLIED SURFACE SCIENCE
171,CARBON
175,CATALYSIS COMMUNICATIONS
176,CATALYSIS LETTERS
178,CATALYSIS SCIENCE & TECHNOLOGY
179,CATALYSIS SURVEYS FROM ASIA
180,CATALYSIS SURVEYS FROM JAPAN
181,CATALYSIS TODAY
194,CHEMICAL AND PROCESS ENGINEERING-INZYNIERIA CHEMICZNA I PROCESOWA
195,CHEMICAL COMMUNICATIONS
196,CHEMICAL ENGINEERING
200,CHEMICAL ENGINEERING JOURNAL
210,CHEMICAL PHYSICS LETTERS
245,CHINESE JOURNAL OF CATALYSIS
277,COMPTES RENDUS CHIMIE
294,CRYSTAL GROWTH & DESIGN
298,CRYSTENGCOMM
304,CURRENT ORGANIC CHEMISTRY
326,ENERGY
327,ENERGY & ENVIRONMENTAL SCIENCE
328,ENERGY & FUELS
330,ENERGY CONVERSION AND MANAGEMENT
388,FUEL PROCESSING TECHNOLOGY
396,GREEN CHEMISTRY
435,INORGANIC CHEMISTRY COMMUNICATIONS
463,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY
470,INTERNATIONAL JOURNAL OF PHOTOENERGY
488,JOURNAL OF CATALYSIS
505,JOURNAL OF CHEMISTRY AND CHEMICAL ENGINEERING
511,JOURNAL OF CLEANER PRODUCTION
514,JOURNAL OF COLLOID AND INTERFACE SCIENCE
520,JOURNAL OF ELECTROANALYTICAL CHEMISTRY
538,JOURNAL OF ENVIRONMENTAL ENGINEERING
564,JOURNAL OF MATERIALS CHEMISTRY
567,JOURNAL OF MATERIALS CHEMISTRY C
578,JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL
590,JOURNAL OF NATURAL GAS CHEMISTRY
598,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY
604,JOURNAL OF PHYSICAL CHEMISTRY A
605,JOURNAL OF PHYSICAL CHEMISTRY B
606,JOURNAL OF PHYSICAL CHEMISTRY C
607,JOURNAL OF PHYSICAL CHEMISTRY LETTERS
609,JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS
646,JOURNAL OF SOLID STATE CHEMISTRY
657,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
665,JOURNAL OF THE CHEMICAL SOCIETY FARADAY TRANSACTIONS
684,JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS
705,LANGMUIR
736,MATERIALS CHEMISTRY AND PHYSICS
740,MATERIALS LETTERS
791,NANOSCIENCE AND NANOTECHNOLOGY LETTERS
844,PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES
859,PHYSICAL CHEMISTRY CHEMICAL PHYSICS
892,PLATINUM METALS REVIEW
895,POLISH JOURNAL OF CHEMICAL TECHNOLOGY
932,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
965,RESEARCH ON CHEMICAL INTERMEDIATES
1001,SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS
1028,SOLAR ENERGY MATERIALS AND SOLAR CELLS
1066,THE SCIENTIFIC WORLD JOURNAL
1072,THIN SOLID FILMS
1075,TOPICS IN CATALYSIS
10,ACS NANO
41,ADVANCED FUNCTIONAL MATERIALS
57,ADVANCES IN CONDENSED MATTER PHYSICS
186,CERAMICS INTERNATIONAL
204,CHEMICAL ENGINEERING TRANSACTIONS
230,CHEMISTRY OF MATERIALS
231,CHEMISTRY-A EUROPEAN JOURNAL
232,CHEMISTRY-AN ASIAN JOURNAL
239,CHEMSUSCHEM
309,DALTON TRANSACTIONS
319,ECS SOLID STATE LETTERS
386,FUEL
430,INDONESIAN JOURNAL OF CHEMISTRY
432,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH
434,INORGANIC CHEMISTRY
457,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY
489,JOURNAL OF CENTRAL SOUTH UNIVERSITY
513,JOURNAL OF CO2 UTILIZATION
565,JOURNAL OF MATERIALS CHEMISTRY A
577,JOURNAL OF MOLECULAR CATALYSIS
597,JOURNAL OF PHOTOCHEMISTRY
603,JOURNAL OF PHYSICAL CHEMISTRY
631,JOURNAL OF RARE EARTHS
637,JOURNAL OF SAUDI CHEMICAL SOCIETY
647,JOURNAL OF SOLID STATE ELECTROCHEMISTRY
683,JOURNAL OF THE SERBIAN CHEMICAL SOCIETY
715,LUMINESCENCE
742,MATERIALS RESEARCH BULLETIN
749,MATERIALS SCIENCE AND ENGINEERING B-SOLID-STATE MATERIALS FOR ADVANCED TECHNOLOGY
773,MOLECULES
779,NANO ENERGY
781,NANO RESEARCH
788,NANOSCALE
790,NANOSCALE RESEARCH LETTERS
792,NANOTECHNOLOGY
795,NATURE
854,PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES
918,POWDER TECHNOLOGY
957,REACTION KINETICS MECHANISMS AND CATALYSIS
982,RSC ADVANCES
1023,SMALL
1027,SOLAR ENERGY
1067,THEORETICAL AND EXPERIMENTAL CHEMISTRY
12,ACS SUSTAINABLE CHEMISTRY & ENGINEERING
42,ADVANCED MATERIALS
87,ANALYTICAL SCIENCES
182,CATALYSTS
189,CHEMCATCHEM
229,CHEMISTRY LETTERS
311,DESALINATION AND WATER TREATMENT
312,DIAMOND AND RELATED MATERIALS
324,ELECTROCHIMICA ACTA
336,ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS
338,ENERGY TECHNOLOGY
364,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH
368,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY
389,FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES
526,JOURNAL OF ENERGY CHEMISTRY
551,JOURNAL OF HAZARDOUS MATERIALS
572,JOURNAL OF MATERIALS RESEARCH
583,JOURNAL OF NANO RESEARCH
585,JOURNAL OF NANOMATERIALS
588,JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY
599,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS
613,JOURNAL OF PHYSICS-CONDENSED MATTER
644,JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY
653,JOURNAL OF SUPERCRITICAL FLUIDS
730,MATERIALS & DESIGN
751,MATERIALS SCIENCE AND TECHNOLOGY
821,OPTICAL MATERIALS
882,PHYSICS TODAY
1011,SCIENTIFIC REPORTS
1093,AAPG BULLETIN
4,ACI MATERIALS JOURNAL
44,ADVANCED MATERIALS INTERFACES
45,ADVANCED OPTICAL MATERIALS
71,AIP ADVANCES
138,BEILSTEIN JOURNAL OF ORGANIC CHEMISTRY
214,CHEMICAL SCIENCE
259,CHINESE SCIENCE BULLETIN
358,ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY
382,FARADAY DISCUSSIONS
552,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY
662,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY
679,JOURNAL OF THE KOREAN PHYSICAL SOCIETY
681,JOURNAL OF THE ROYAL SOCIETY INTERFACE
701,KOREAN JOURNAL OF CHEMICAL ENGINEERING
729,MATERIALS
745,MATERIALS SCIENCE
780,NANO LETTERS
810,NEW JOURNAL OF CHEMISTRY
923,PROCEEDINGS OF THE IEEE
1003,SCIENCE CHINA-CHEMISTRY
1094,ADVANCED SCIENCE
1095,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING
1096,ENERGY PROCEDIA
1097,COORDINATION CHEMISTRY REVIEWS
1098,AIP CONFERENCE PROCEEDINGS
1099,JOULE
2,ACCOUNTS OF CHEMICAL RESEARCH
46,ADVANCED POWDER TECHNOLOGY
207,CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE
365,ENVIRONMENTAL SCIENCE-NANO
468,INTERNATIONAL JOURNAL OF NANOTECHNOLOGY
574,JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY
752,MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING
757,MATERIALS TODAY
798,NATURE COMMUNICATIONS
962,RENEWABLE ENERGY
1036,SOLID STATE SCIENCES
39,ADVANCED ENERGY MATERIALS
102,APPLIED ENERGY
162,BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN
203,CHEMICAL ENGINEERING SCIENCE
237,CHEMPHYSCHEM
243,CHINESE CHEMICAL LETTERS
385,FRONTIERS OF PHYSICS
575,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS
586,JOURNAL OF NANOPARTICLE RESEARCH
645,JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME
762,MICROCHEMICAL JOURNAL
785,NANOMATERIALS
811,NEW JOURNAL OF PHYSICS
1000,SCIENCE AND ENGINEERING OF COMPOSITE MATERIALS
1085,WILEY INTERDISCIPLINARY REVIEWS-ENERGY AND ENVIRONMENT
